tournament,full_tournament_name,source_file,event,gender,stage,date,rank,bib,name,noc,total,num_shots,stage_totals,shots,remarks
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,1,1526,KULISH Serhii,UKR,252.0,24,"52.8,106.3,127.2,147.8,168.3,189.6,210.3,231.6,252.0","10.6,10.6,10.9,10.3,10.4,10.8,10.4,10.9,10.7,10.7,10.2,10.7,10.3,10.3,10.5,10.0,10.6,10.7,10.3,10.4,10.6,10.7,10.3,10.1",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,2,1420,MARSOV Ilia,AIN,251.7,24,"52.2,104.8,126.4,147.4,168.3,188.8,209.9,231.2,251.7","10.1,10.4,10.5,10.7,10.5,10.7,10.6,9.8,10.9,10.6,10.8,10.8,10.3,10.7,10.4,10.5,9.9,10.6,10.5,10.6,10.8,10.5,10.5,10.0",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,3,1117,MARICIC Miran,CRO,229.6,22,"52.3,104.4,125.4,146.2,167.7,188.6,209.4,229.6","10.5,10.4,10.5,10.5,10.4,10.1,10.5,10.6,10.2,10.7,10.5,10.5,10.2,10.6,10.7,10.8,10.6,10.3,10.5,10.3,10.0,10.2",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,4,1116,GORSA Petar,CRO,209.4,20,"52.2,104.5,125.6,146.9,167.9,188.4,209.4","10.4,10.4,10.7,10.1,10.6,10.1,10.5,10.5,10.7,10.5,10.5,10.6,10.7,10.6,10.7,10.3,10.7,9.8,10.2,10.8",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,5,1139,ENTRICHEL Ales,CZE,187.8,18,"52.0,104.4,124.8,146.0,166.7,187.8","10.5,9.8,10.3,10.9,10.5,10.4,10.9,10.3,10.3,10.5,10.4,10.0,10.5,10.7,10.2,10.5,10.2,10.9",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,6,1141,NEPEJCHAL Filip,CZE,166.6,16,"52.6,104.8,125.1,145.9,166.6","10.2,10.7,10.7,10.9,10.1,10.4,10.6,10.1,10.6,10.5,10.5,9.8,10.2,10.6,10.0,10.7",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,7,1489,LINDGREN Victor,SWE,145.5,14,"52.1,103.4,124.1,145.5","10.8,10.7,9.9,10.3,10.4,10.3,10.0,10.6,10.4,10.0,10.2,10.5,10.8,10.6",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Men,Final,Unknown,8,1193,KRYZS Lucas,FRA,123.2,10,"51.5,102.2,123.2","10.2,10.7,9.9,10.3,10.6,9.9,10.0,9.9,10.3,10.3",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,1,1272,ILIE Laura-Georgeta,ROU,252.3,24,"52.4,104.4,125.6,146.6,167.6,188.8,210.1,231.1,252.3","10.7,10.7,10.0,10.5,10.5,10.1,10.7,10.5,10.3,10.4,10.9,10.3,10.8,10.2,10.7,10.3,10.6,10.6,10.6,10.7,10.6,10.4,10.9,10.3",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,2,1456,GOGNIAT Audrey,SUI,250.9,24,"52.4,104.5,125.5,146.3,167.6,188.3,208.8,230.0,250.9","10.4,10.9,10.2,10.3,10.6,10.6,10.0,10.6,10.2,10.7,10.4,10.6,10.4,10.4,10.6,10.7,10.1,10.6,10.6,9.9,10.3,10.9,10.4,10.5",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,3,1428,HAVRAN Aleksandra,SRB,229.4,22,"52.8,104.9,125.2,146.2,167.1,187.7,208.9,229.4","10.4,10.5,10.6,10.6,10.7,10.2,10.8,10.5,10.1,10.5,10.5,9.8,10.4,10.6,10.3,10.6,10.6,10.0,10.8,10.4,10.5,10.0",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,4,1387,PIOTROWSKA Julia,POL,207.4,20,"52.2,103.5,124.2,145.3,165.9,187.1,207.4","10.4,10.6,10.8,9.8,10.6,10.9,10.5,9.9,9.7,10.3,10.7,10.0,10.6,10.5,10.2,10.4,10.5,10.7,9.9,10.4",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,5,1247,DENES Eszter,HUN,185.8,18,"50.7,103.0,124.2,145.4,165.4,185.8","9.6,10.6,10.2,10.0,10.3,10.4,10.4,10.6,10.7,10.2,10.6,10.6,10.8,10.4,9.8,10.2,10.2,10.2",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,6,1499,KOSE Damla,TUR,164.8,16,"51.5,104.1,125.3,144.9,164.8","10.8,9.9,10.3,10.1,10.4,10.6,10.4,10.6,10.5,10.5,10.4,10.8,9.4,10.2,10.1,9.8",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,7,1368,DUESTAD Jeanette,NOR,144.3,14,"50.9,103.8,123.5,144.3","10.0,10.4,10.4,10.0,10.1,10.7,10.4,10.5,10.7,10.6,10.0,9.7,10.5,10.3",
European Championship,European Championship - 10m 2025,10mAR_MW_ECH-10m-Osijek-2025.pdf,10m Air Rifle,Women,Final,Unknown,8,1188,MULLER Oceanne,FRA,122.9,10,"51.0,102.2,122.9","10.5,10.6,10.1,10.0,10.6,10.5,10.4,9.8,10.6,10.1",ER
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,1,1443,SATPAYEV Islam,KAZ,250.1,24,"51.6,104.3,125.4,146.3,166.9,187.9,208.6,230.0,250.1","10.4,9.7,10.3,10.5,10.7,10.9,10.5,10.5,10.1,10.7,10.5,10.6,10.5,10.4,10.7,9.9,10.6,10.4,10.3,10.4,10.7,10.7,10.2,9.9",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,2,1061,LU Dingke,CHN,249.8,24,"52.4,104.4,125.1,145.9,166.9,188.6,208.5,229.3,249.8","9.9,10.6,10.6,10.7,10.6,10.1,10.4,10.6,10.4,10.5,10.2,10.5,10.4,10.4,10.5,10.5,10.9,10.8,9.9,10.0,10.1,10.7,10.1,10.4",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,3,1544,PARK Hajun,KOR,228.7,22,"51.8,103.4,123.7,144.6,165.5,186.7,207.9,228.7","10.0,10.5,10.7,10.7,9.9,10.7,10.0,10.0,10.7,10.2,10.6,9.7,10.9,10.0,10.5,10.4,10.5,10.7,10.6,10.6,10.6,10.2",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,4,1239,PATIL Rudrankksh,IND,207.6,20,"52.2,103.3,124.0,145.2,166.2,186.3,207.6","10.4,10.8,10.1,10.4,10.5,10.5,9.7,10.6,10.4,9.9,10.8,9.9,10.4,10.8,10.6,10.4,9.9,10.2,10.7,10.6",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,5,1188,BABUTA Arjun,IND,185.8,18,"51.4,103.2,124.4,144.5,164.7,185.8","9.4,10.6,10.3,10.7,10.4,10.9,10.1,10.7,10.0,10.1,10.6,10.6,9.9,10.2,9.3,10.9,10.8,10.3",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,6,1058,LI Xianhao,CHN,164.6,16,"51.4,102.8,123.9,144.5,164.6","9.5,10.6,10.3,10.6,10.4,10.4,10.2,10.4,10.0,10.4,10.2,10.9,10.6,10.0,9.7,10.4",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,7,1328,OKADA Naoya,JPN,144.3,14,"50.3,102.8,123.5,144.3","9.9,10.1,9.8,10.2,10.3,10.9,10.4,10.6,10.5,10.1,10.2,10.5,10.7,10.1",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Men,Final,Unknown,8,1311,NEKOUNAM Amirmohammad,IRI,123.3,10,"52.1,102.5,123.3","10.4,10.8,10.7,10.6,10.0,9.8,9.6,10.4,10.1,10.0",
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Women,Final,Unknown,1,1182,VALARIVAN Elavenil,IND,253.6,24,"52.5,105.2,126.5,147.9,169.1,190.2,211.0,232.3,253.6","10.7,10.8,10.2,10.4,10.4,10.5,10.8,10.8,10.3,10.3,10.7,10.6,10.9,10.5,10.5,10.7,10.6,10.5,10.0,10.8,10.8,10.5,10.6,10.7",AsR
Asian Championship,Asian Championship - Shymkent 2025,10mAR_MW_ASC-Shymkent-2025.pdf,10m Air Rifle,Women,Final,Unknown,2,1041,PENG Xinlu,CHN,253.0,24,"52.6,105.3,126.2,147.5,168.4,189.3,210.3,231.6,253.0","10.7,10.6,10.6,10.4,10.3,10.3,10.5,10.4,10.7,10.8,10.4,10.5,10.7,10.6,10.8,10.1,10.3,10.6,10.7,10.3,10.7,10.6,10.6,10.8",
